date,year,month,day,median_ndvi,landsat
02-02-2010,2010,2,2,0.537182450294495,MODIS
10-02-2010,2010,2,10,0.448786497116089,MODIS
18-02-2010,2010,2,18,0.455546140670776,MODIS
26-02-2010,2010,2,26,0.368783473968506,MODIS
06-03-2010,2010,3,6,0.353345841169357,MODIS
14-03-2010,2010,3,14,0.335609436035156,MODIS
22-03-2010,2010,3,22,0.316289752721786,MODIS
30-03-2010,2010,3,30,0.292376011610031,MODIS
07-04-2010,2010,4,7,0.283042788505554,MODIS
15-04-2010,2010,4,15,0.283132523298264,MODIS
23-04-2010,2010,4,23,0.275854557752609,MODIS
01-05-2010,2010,5,1,0.315648078918457,MODIS
09-05-2010,2010,5,9,0.305384606122971,MODIS
17-05-2010,2010,5,17,0.28461280465126,MODIS
25-05-2010,2010,5,25,0.266918569803238,MODIS
02-06-2010,2010,6,2,0.28987991809845,MODIS
10-06-2010,2010,6,10,0.29689234495163,MODIS
18-06-2010,2010,6,18,0.408079147338867,MODIS
26-06-2010,2010,6,26,0.596826314926147,MODIS
21-08-2010,2010,8,21,0.77063974738121,MODIS
06-09-2010,2010,9,6,0.854761362075806,MODIS
22-09-2010,2010,9,22,0.836588740348816,MODIS
30-09-2010,2010,9,30,0.835183352231979,MODIS
08-10-2010,2010,10,8,0.797979772090912,MODIS
16-10-2010,2010,10,16,0.83704799413681,MODIS
24-10-2010,2010,10,24,0.801940441131592,MODIS
01-11-2010,2010,11,1,0.742467701435089,MODIS
09-11-2010,2010,11,9,0.766816139221191,MODIS
17-11-2010,2010,11,17,0.739650011062622,MODIS
25-11-2010,2010,11,25,0.731814861297607,MODIS
03-12-2010,2010,12,3,0.712457656860352,MODIS
11-12-2010,2010,12,11,0.705020010471344,MODIS
19-12-2010,2010,12,19,0.660395085811615,MODIS
27-12-2010,2010,12,27,0.654914975166321,MODIS
01-01-2011,2011,1,1,0.654914975166321,MODIS
09-01-2011,2011,1,9,0.62707930803299,MODIS
17-01-2011,2011,1,17,0.597770154476166,MODIS
25-01-2011,2011,1,25,0.549479186534882,MODIS
02-02-2011,2011,2,2,0.546562254428864,MODIS
10-02-2011,2011,2,10,0.484183102846146,MODIS
18-02-2011,2011,2,18,0.484480440616608,MODIS
26-02-2011,2011,2,26,0.45339298248291,MODIS
06-03-2011,2011,3,6,0.423457741737366,MODIS
14-03-2011,2011,3,14,0.373665481805801,MODIS
22-03-2011,2011,3,22,0.326784551143646,MODIS
30-03-2011,2011,3,30,0.291165351867676,MODIS
07-04-2011,2011,4,7,0.325876653194427,MODIS
15-04-2011,2011,4,15,0.343115121126175,MODIS
23-04-2011,2011,4,23,0.364801079034805,MODIS
01-05-2011,2011,5,1,0.379817605018616,MODIS
09-05-2011,2011,5,9,0.373353749513626,MODIS
17-05-2011,2011,5,17,0.399237304925919,MODIS
25-05-2011,2011,5,25,0.400275111198425,MODIS
02-06-2011,2011,6,2,0.436486482620239,MODIS
10-06-2011,2011,6,10,0.471532076597214,MODIS
18-06-2011,2011,6,18,0.500432133674622,MODIS
26-06-2011,2011,6,26,0.773089051246643,MODIS
